Poster,Pre-Comment,Comment,Label
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,xăng thành vàng rồi,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,Sang Nga mua các bạn Mỹ ơi! Việt kiều Nga bảo xăng 95 có 8700 đồng 1 lít thôi 😁😁😁,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·","['Sang Nga mua các bạn Mỹ ơi! Việt kiều Nga bảo xăng 95 có 8700 đồng 1 lít thôi 😁😁😁', 'Công Thành hàng nhà trồng nó thế', 'Công Thành hàng nhà trồng nó thế', 'Trịnh Quang Xuân Đức k định cmt đâu, nhưng NV cũng có mà sao vẫn 30k nhỉ?']",Công Thành hàng nhà trồng nó thế,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·","['Sang Nga mua các bạn Mỹ ơi! Việt kiều Nga bảo xăng 95 có 8700 đồng 1 lít thôi 😁😁😁', 'Công Thành hàng nhà trồng nó thế', 'Công Thành hàng nhà trồng nó thế', 'Trịnh Quang Xuân Đức k định cmt đâu, nhưng NV cũng có mà sao vẫn 30k nhỉ?']","Trịnh Quang Xuân Đức k định cmt đâu, nhưng NV cũng có mà sao vẫn 30k nhỉ?",0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·","['Sang Nga mua các bạn Mỹ ơi! Việt kiều Nga bảo xăng 95 có 8700 đồng 1 lít thôi 😁😁😁', 'Công Thành hàng nhà trồng nó thế', 'Công Thành hàng nhà trồng nó thế', 'Trịnh Quang Xuân Đức k định cmt đâu, nhưng NV cũng có mà sao vẫn 30k nhỉ?']","Vũ Thái Kiệt NV hay VN vậy bác nếu là VN thì nguồn nội địa của ta ko đáp ứng đủ nhu cầu vẫn phải nhập xăng dầu từ nước ngoài về và các mỏ dầu của VN ngoài biển Đông vẫn nằm trong vùng tranh chấp nên ta chưa khai thác hết được với lại Vn chưa có nhiều nhà máy lọc dầu, nhà máy lọc dầu của mình công nghệ cũng cũ nên năng suất lọc cũng ko cao mấy nên hầu hết dầu thô hút lên ta mang bán chỉ lọc được phần nhỏ mà thôi.",0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,Xem mấy cái vid dân mẽo kêu gào đòi gửi bill cho putin hài vãi. Gửi cho gấu là nhầm địa chỉ rồi,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,Thời bi đần thế giới quẩy nhiệt thật 🤣🤣,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·","['Thời bi đần thế giới quẩy nhiệt thật 🤣🤣', 'Jason Nguyen hơn cả thời ô bá mà :v']",Jason Nguyen hơn cả thời ô bá mà :v,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·","['Thời bi đần thế giới quẩy nhiệt thật 🤣🤣', 'Jason Nguyen hơn cả thời ô bá mà :v']",Trịnh Quang Xuân Đức ye :v 2 anh xịn quá xịn :v,0
"Nguyễn Thị Ngoc AnhJ2TEAM Community
Hôm qua lúc 11:23 ·",,Lập Lê,0
