Poster,Pre-Comment,Comment,Label
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news",,"Có trả lời từ Samsung rồi, không phải. Danh sách chỉ để phân biệt app nào là game",1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news","['Có trả lời từ Samsung rồi, không phải. Danh sách chỉ để phân biệt app nào là game', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Mình đọc báo thôi, có người thử đổi tên ứng dụng và vẫn bị. Thế bạn có danh sách đó à?']","Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.",1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news","['Có trả lời từ Samsung rồi, không phải. Danh sách chỉ để phân biệt app nào là game', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Mình đọc báo thôi, có người thử đổi tên ứng dụng và vẫn bị. Thế bạn có danh sách đó à?']","Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?",1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news","['Có trả lời từ Samsung rồi, không phải. Danh sách chỉ để phân biệt app nào là game', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Mình đọc báo thôi, có người thử đổi tên ứng dụng và vẫn bị. Thế bạn có danh sách đó à?']","Mình đọc báo thôi, có người thử đổi tên ứng dụng và vẫn bị. Thế bạn có danh sách đó à?",1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news","['Có trả lời từ Samsung rồi, không phải. Danh sách chỉ để phân biệt app nào là game', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Vũ Đình Thành Dù vậy, sự cố lần này cho thấy GOS đã liệt kê cả các ứng dụng không phải game vào danh sách hạn chế.', 'Andrey Shevchenko danh sách đó không phải danh sách hạn chế, bạn mở code gos ra đọc ạ?', 'Mình đọc báo thôi, có người thử đổi tên ứng dụng và vẫn bị. Thế bạn có danh sách đó à?']","Trong thông báo ngày 4/3, Samsung cho biết đã ghi nhận vấn đề và sẽ sớm triển khai bản cập nhật phần mềm cho người dùng bị ảnh hưởng.

Đoạn ghi nhận và sớm triển khai cập nhật cho những người bị ảnh hưởng là vì sao vậy bạn?",1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news",,"Em dùng Samsung cũng lâu rồi và thấy vụ này cũng không ảnh hưởng lắm vì game nó tối ưu hóa hiệu năng chơi mượt hơn còn các ứng dụng khác nhẹ mà, nó có hạn chế nhưng mình tắt được mà, mình muốn hạn chế cái nào tùy mình thôi.",1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news",,Máy tốt quá không bóp lại sao chạy đủ kpi,1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news",,Phải thánh thần đâu mà đòi ứng dụng nào cũng tối ưu tốt chạy mượt :v,1
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news",,😳,0
"https://vnexpress.net/samsung-bi-to-bop-hieu-nang-hang-nghin-ung-dung-4434191.html
Tính năng Dịch vụ Tối ưu hóa Trò chơi GOS trên smartphone Samsung giúp trải nghiệm game tốt hơn, nhưng bị cho là làm giảm hiệu năng trên hơn 10.000 ứng dụng khác.
#j2team_news",,Codm cũng bị luôn cơ à =)),1
