Poster,Pre-Comment,Comment,Label
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,"ở fb máy tính em ko thấy nhỉ, có mỗi điện thoại có tính năng này hay sao ấy",1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀","['ở fb máy tính em ko thấy nhỉ, có mỗi điện thoại có tính năng này hay sao ấy', 'Nguyễn Thiện Minh máy tính bọn kia có chịu update mấy cái này đâu ông...']",Nguyễn Thiện Minh máy tính bọn kia có chịu update mấy cái này đâu ông...,1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀","['ở fb máy tính em ko thấy nhỉ, có mỗi điện thoại có tính năng này hay sao ấy', 'Nguyễn Thiện Minh máy tính bọn kia có chịu update mấy cái này đâu ông...']","Lewis Nguyen khó chịu thật, đến cả đăng story còn bị hạn chế",1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,Ủa sao t k có,1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,Tôi không có trên mess chỉ có ở face :v,1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,Tắt tt hd cho lẹ,0
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,Fb cũng có đó,1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,hay z,1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀",,Không biết dưới góc nhìn của người khác thì nó hiện sao nhỉ,1
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀","['Không biết dưới góc nhìn của người khác thì nó hiện sao nhỉ', 'Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~', 'Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~', 'Lượng Đức Trọng ntn nè bạn :))', 'Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~', 'Lượng Đức Trọng ntn nè bạn :))', 'Bảo Ngân Trong ảnh là góc nhìn của thím mà, đâu phải của người khác đâu']",Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~,0
"Nguyễn Việt HưngJ2TEAM Community
12 tháng 3 lúc 07:08 ·
#j2team_news
Messenger cập nhật tính năng mới 😀","['Không biết dưới góc nhìn của người khác thì nó hiện sao nhỉ', 'Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~', 'Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~', 'Lượng Đức Trọng ntn nè bạn :))', 'Lượng Đức Trọng nó hiện cạnh avatar thế này nè b~', 'Lượng Đức Trọng ntn nè bạn :))', 'Bảo Ngân Trong ảnh là góc nhìn của thím mà, đâu phải của người khác đâu']",Lượng Đức Trọng ntn nè bạn :)),0
