Poster,Pre-Comment,Comment,Label
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,Hòa Lý nè bạn,0
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,Muốn có nhiều nước thì việc đầu tiên cần làm là nhấp thật nhiều:))))),1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,S,0
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,đây mới là đẳng cấp.chỉ có ở vn😅,1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share","['đây mới là đẳng cấp.chỉ có ở vn😅', 'lê viết thiết ở khu vực nước nhiều mới làm được vậy. Nhanh có nước với đất nó không bị tắc ống']",lê viết thiết ở khu vực nước nhiều mới làm được vậy. Nhanh có nước với đất nó không bị tắc ống,1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share","['đây mới là đẳng cấp.chỉ có ở vn😅', 'lê viết thiết ở khu vực nước nhiều mới làm được vậy. Nhanh có nước với đất nó không bị tắc ống']",Nguyễn Thành Nam ở đây đất toàn cát thôi bạn,1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,Giếng này khoan chỗ mk gặp đá thì có mà,1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,Thả xuống mà trượt tay hay quên gài chốt là cũng mướt mồ hôi😂,1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share",,":)) Đùa chứ ở j2 mà cũng lắm bác sĩ online thế nhỉ? Cái cách đào giếng thủ công, dùng nước giếng này ở VN chắc dùng cũng từ thời ông nội tới giờ. Hồi tôi còn nhỏ nhà còn dùng nước sông bơm lên lóng phèn mà dùng. Mà hồi đó có bị bệnh gì như bây giờ đâu. Lên ngồi cmt tưởng vẻ ta đây ở sạch tuỳ vào nhà máy nước chất lượng hay không.chưa chắc cái nước máy đang dùng nó sạch thật sự đâu. Mà nước máy bây giờ thì theo chu kỳ: nước sông => bơm lên lọc, tẩy => người dân dùng => nước thải thải lại ra sông. =)))) Khuất con mắ thì cứ dùng thôi",1
"Lê ThịnhJ2TEAM Community
Hôm qua lúc 11:15 ·
Cách mà người ta khoan giếng nước bằng tay :D
Cre: Voov Workshop
#j2team_share","[':)) Đùa chứ ở j2 mà cũng lắm bác sĩ online thế nhỉ? Cái cách đào giếng thủ công, dùng nước giếng này ở VN chắc dùng cũng từ thời ông nội tới giờ. Hồi tôi còn nhỏ nhà còn dùng nước sông bơm lên lóng phèn mà dùng. Mà hồi đó có bị bệnh gì như bây giờ đâu. Lên ngồi cmt tưởng vẻ ta đây ở sạch tuỳ vào nhà máy nước chất lượng hay không.chưa chắc cái nước máy đang dùng nó sạch thật sự đâu. Mà nước máy bây giờ thì theo chu kỳ: nước sông => bơm lên lọc, tẩy => người dân dùng => nước thải thải lại ra sông. =)))) Khuất con mắ thì cứ dùng thôi', 'Nguyễn Khoa cũng còn tùy nguồn nước, mạch nước mà nước giếng khoan có chất lượng hay ko nữa bạn, nhiều chỗ thì nước còn xịn hơn nước mưa nữa, còn chỗ khác thì nhiễm sắt ko ăn dc, chỗ nào ko ăn dc thì người ta phải dùng nguồn nước khác để ăn, nước giếng chỉ để tắm giặt thôi. Mấy ông ko hiểu thì phán xét nó kệch cỡm thôi']","Nguyễn Khoa cũng còn tùy nguồn nước, mạch nước mà nước giếng khoan có chất lượng hay ko nữa bạn, nhiều chỗ thì nước còn xịn hơn nước mưa nữa, còn chỗ khác thì nhiễm sắt ko ăn dc, chỗ nào ko ăn dc thì người ta phải dùng nguồn nước khác để ăn, nước giếng chỉ để tắm giặt thôi. Mấy ông ko hiểu thì phán xét nó kệch cỡm thôi",1
